position,user,score
443,Radoslav Kirov,116
443,blaumeise20,116
443,wisewizardofthestars,116
443,umrak11,116
449,masecla22,115
449,zero,115
449,artheadsweden,115
452,jorendorff,114
453,ovs-code ,113
453,thecatrine ,113
455,Loren Troan,112
455,Allen Huang,112
455,cow-moo,112
455,xiej2520,112
455,Carl Sandrock,112
460,Noureldin,111
460,Renette Ros,111
462,lonerz,110
462,Sreeram Ramachandran,110
462,epsalon,110
462,Lilian,110
462,Yusuf Elsharawy,110
462,XeroOl ,110
468,Redcrafter,109
469,Nathan Ye,108
470,Lawrence Kesteloot,107
470,Cameron Wu ,107
472,Lenny S,106
472,icemoon97,106
472,danzou56,106
472,Jc,106
476,Josh Taylor,105
476,Erik Szalay,105
476,HertzDevil,105
476,a5a7,105
476,Aditya C,105
481,cub,104
482,Hannah Rose,103
482,Mr Thimoté,103
482,Dušan Minić,103
482,anonymous user #2584744,103
482,dkesler,103
487,FillyAutomatic,102
487,Niklas Sandén,102
489,Tristan Rasmussen,101
490,anonymous user #640116,100
490,Paul Martinez ,100
490,twright0,100
490,siraben,100
490,josephxwang,100
490,Hessel,100
496,Paul Zagieboylo ,99
496,Alex Weil,99
498,noblematt,98
498,Josh Mandel,98
498,MelnCat,98
498,Peter Trebaticky ,98
498,Mihai Maruseac,98
498,Peter Olson,98
504,Ian O'Donnell,97
504,Maxim Volkov,97
504,Marcus Oscarsson,97
504,Jacob Magnuson ,97
508,Josh Leverette,95
508,Hunter Staiger,95
510,OroArmor,94
510,Ryan Leemans,94
510,SizableShrimp,94
513,Alvar Soome,93
513,Joseph Gleason ,93
515,Edward Lue,92
515,oparkerj,92
517,sguest,91
517,Number Basher (Very Smart),91
517,ColeTrammer,91
520,tesselslate,90
520,RobertDWhite,90
520,Adrian Smith,90
520,bcdean,90
520,Salomon Trujillo ,90
520,Benjamin Chen,90
520,Patrick Fitzgerald,90
527,rotcar,89
528,AmoleR,88
528,anonymous user #371225,88
528,Sumudu Fernando,88
528,Paweł Kubiak,88
528,uva14726173,88
533,Han Mertens,87
533,downvoid,87
535,Nikhil Vijai,86
535,Natanaelel,86
535,Daniel Ge,86
535,Olivier Le Floch,86
535,Florian Snow,86
540,Talchas,85
540,Zach Hacking,85
540,Wojciech Nadara,85
543,Michael Broughton,84
543,Ivan Lyzhin,84
543,Cameron,84
543,xivaxy,84
547,Carson Graham,83
547,djpohly,83
547,Alexander Fenster,83
547,Chris Rectenwald,83
547,solstice23,83
547,Guillaume Alleon,83
547,Karthik Karanth,83
554,LK,82
554,vekt0r-github,82
554,Qiqi Impact,82
554,Akari,82
558,Jake Williams,81
558,nick-hiebl,81
558,Thomas Kaldahl,81
558,AK1089,81
558,Isaac Good,81
558,vukonen,81
558,anonymous user #1011488,81
565,M1ngXU,80
565,Alex Wen,80
565,Kevin Guo,80
565,Alexandre Thiault,80
569,Michael Tardibuono,79
569,anonymous user #203730,79
569,Qwerasd,79
569,Bergschaf,79
569,awychong,79
574,sampersand,78
574,Gabriel Kanegae,78
574,Emil Kaczyński ,78
574,sr2echa,78
574,PenguinEncounter,78
579,Tristan Lee,77
579,democat3457,77
579,jaspercb,77
579,Mark Ladygo,77
579,Nathan Shirley,77
579,anonymous user #198392,77
579,bykem,77
579,vjeranc,77
579,Ken Gene Quah,77
579,Richárd Molnár-Szipai,77
589,Ari Wachtel,76
589,Frunze Dzvakeryan ,76
589,Paul Wild,76
589,anonymous user #1350909,76
589,Samo Kralj,76
589,Draco18s,76
589,prandla,76
589,Ayman Eltemmsahy,76
597,Ross Newman,75
597,csjh,75
597,Stevie-O ,75
597,Arkadiusz Chmura,75
597,vishal chauhan,75
597,runarmod,75
603,Nicholas Tarsis,74
603,StarGazingHomies,74
603,Sans Cipher,74
603,glaukias,74
603,Greg Titus,74
603,chasehult,74
609,Gustav Kalander,73
609,nkitsaini,73
609,alexxyu,73
609,André Emery,73
613,anonymous user #63186,72
613,Gotheru,72
613,Thrythe,72
613,Julian Bruyat,72
617,tabun-dareka,71
617,Tea Leka,71
617,Ghurfa,71
617,narpfel,71
617,Evgeniy Krasko ,71
617,Theo Browne,71
623,chluebi,70
623,Kitchen_Choice_8786,70
623,Adalbert,70
623,anonymous user #999046,70
623,ObamaLover1281231312,70
623,Tautvydas Žilys,70
623,Egan Bosch,70
630,MeepMoop,69
630,dsemi ,69
630,Nicholas Foo,69
630,Ethan,69
630,hades,69
635,Jonathan Ho ,68
635,Aleksei Latyshev,68
635,1e1001,68
635,anonymous user #1785483,68
